2020-08-16 19:28:55,419, INFO, job: Board Number:1 Operator:
2020-08-16 19:28:55,423, INFO, Starting serial port
2020-08-16 19:28:59,151, INFO, Serial port configuration:
2020-08-16 19:28:59,152, INFO, port opened successfully
2020-08-16 19:28:59,152, INFO, Serial<id=0x2eb2fb8, open=True>(port='COM3', baudrate=115200, bytesize=8, parity='N', stopbits=1, timeout=50, xonxoff=False, rtscts=False, dsrdtr=False)
2020-08-16 19:28:59,653, INFO, 'MESSAGE FROM OVEN'
2020-08-16 19:28:59,653, INFO, 
2020-08-16 19:28:59,654, INFO, Selected profile 2: 4300 63SN/37PB
2020-08-16 19:29:01,741, INFO, user confirmation: y
2020-08-16 19:29:02,743, INFO, Starting reflow with profile: 4300 63SN/37PB
2020-08-16 19:29:02,744, INFO, 
2020-08-16 19:29:02,745, INFO, Starting reflow with profile: 4300 63SN/37PB
2020-08-16 19:29:02,746, INFO, bake setpoint values: 0, 32, 50
2020-08-16 19:29:02,747, INFO, 
2020-08-16 19:29:02,748, INFO, # Time,  Temp0, Temp1, Temp2, Temp3,  Set,Actual, Heat, Fan,  ColdJ, Mode
2020-08-16 19:29:10,365, INFO, 8.0,   40.2,  41.8,   0.0,   0.0,   50,  41.0,  164,   9,   27.0, REFLOW
2020-08-16 19:29:10,615, INFO, 8.2,   39.8,  41.9,   0.0,   0.0,   50,  40.9,  223,   9,   27.0, REFLOW
2020-08-16 19:29:10,865, INFO, 8.5,   40.0,  41.7,   0.0,   0.0,   50,  40.9,  190,   9,   27.0, REFLOW
2020-08-16 19:29:11,118, INFO, 8.8,   40.1,  42.0,   0.0,   0.0,   50,  41.0,  136,   9,   27.0, REFLOW
2020-08-16 19:29:11,343, INFO, 9.0,   40.1,  41.8,   0.0,   0.0,   50,  40.9,  204,   9,   27.0, REFLOW
2020-08-16 19:29:11,614, INFO, 9.2,   39.9,  42.0,   0.0,   0.0,   50,  40.9,  184,   9,   27.0, REFLOW
2020-08-16 19:29:11,854, INFO, 9.5,   40.4,  41.9,   0.0,   0.0,   50,  41.2,  114,   9,   27.0, REFLOW
2020-08-16 19:29:12,115, INFO, 9.8,   40.6,  41.9,   0.0,   0.0,   50,  41.3,  160,   9,   27.0, REFLOW
2020-08-16 19:29:12,365, INFO, 10.0,   40.3,  42.2,   0.0,   0.0,   50,  41.2,  178,   9,   27.0, REFLOW
2020-08-16 19:29:12,615, INFO, 10.2,   40.0,  42.2,   0.0,   0.0,   50,  41.1,  218,   9,   27.0, REFLOW
2020-08-16 19:29:12,854, INFO, 10.5,   40.6,  42.2,   0.0,   0.0,   50,  41.4,   95,   9,   27.0, REFLOW
2020-08-16 19:29:13,109, INFO, 10.8,   40.7,  42.1,   0.0,   0.0,   50,  41.4,  173,   9,   27.0, REFLOW
2020-08-16 19:29:13,349, INFO, 11.0,   40.1,  42.1,   0.0,   0.0,   50,  41.1,  255,   9,   27.0, REFLOW
2020-08-16 19:29:13,615, INFO, 11.2,   40.1,  42.2,   0.0,   0.0,   50,  41.1,  164,   9,   27.0, REFLOW
2020-08-16 19:29:13,865, INFO, 11.5,   41.0,  42.3,   0.0,   0.0,   50,  41.6,   36,   9,   27.0, REFLOW
2020-08-16 19:29:14,115, INFO, 11.8,   40.8,  42.2,   0.0,   0.0,   50,  41.5,  202,   9,   27.0, REFLOW
2020-08-16 19:29:14,364, INFO, 12.0,   40.3,  42.4,   0.0,   0.0,   50,  41.4,  215,   9,   27.0, REFLOW
2020-08-16 19:29:14,618, INFO, 12.2,   40.3,  42.4,   0.0,   0.0,   50,  41.3,  182,   9,   27.0, REFLOW
2020-08-16 19:29:14,842, INFO, 12.5,   41.0,  42.4,   0.0,   0.0,   50,  41.7,   74,   9,   27.0, REFLOW
2020-08-16 19:29:15,115, INFO, 12.8,   41.3,  42.5,   0.0,   0.0,   50,  41.9,  117,   9,   27.0, REFLOW
2020-08-16 19:29:15,354, INFO, 13.0,   40.7,  42.7,   0.0,   0.0,   50,  41.7,  216,   9,   27.0, REFLOW
2020-08-16 19:29:15,594, INFO, 13.2,   40.8,  42.6,   0.0,   0.0,   50,  41.7,  167,   9,   27.0, REFLOW
2020-08-16 19:29:15,864, INFO, 13.5,   41.2,  42.5,   0.0,   0.0,   50,  41.9,  116,   9,   27.0, REFLOW
2020-08-16 19:29:16,115, INFO, 13.8,   41.4,  42.6,   0.0,   0.0,   50,  42.0,  123,   9,   27.0, REFLOW
2020-08-16 19:29:16,355, INFO, 14.0,   40.9,  42.8,   0.0,   0.0,   50,  41.9,  204,   9,   27.0, REFLOW
2020-08-16 19:29:16,609, INFO, 14.2,   40.9,  42.9,   0.0,   0.0,   50,  41.9,  156,   9,   27.0, REFLOW
2020-08-16 19:29:16,848, INFO, 14.5,   41.4,  42.7,   0.0,   0.0,   50,  42.1,  120,   9,   27.0, REFLOW
2020-08-16 19:29:17,114, INFO, 14.8,   41.8,  42.8,   0.0,   0.0,   50,  42.3,  102,   9,   27.0, REFLOW
2020-08-16 19:29:17,364, INFO, 15.0,   41.1,  43.0,   0.0,   0.0,   50,  42.1,  217,   9,   27.0, REFLOW
2020-08-16 19:29:17,614, INFO, 15.2,   41.5,  43.0,   0.0,   0.0,   50,  42.3,  110,   9,   27.0, REFLOW
2020-08-16 19:29:17,865, INFO, 15.5,   41.9,  42.9,   0.0,   0.0,   50,  42.4,  106,   9,   27.0, REFLOW
2020-08-16 19:29:18,118, INFO, 15.8,   42.2,  43.2,   0.0,   0.0,   50,  42.7,   88,   9,   27.0, REFLOW
2020-08-16 19:29:18,342, INFO, 16.0,   41.8,  43.1,   0.0,   0.0,   50,  42.5,  207,   9,   27.0, REFLOW
2020-08-16 19:29:18,614, INFO, 16.2,   41.9,  43.2,   0.0,   0.0,   50,  42.6,  128,   9,   27.0, REFLOW
2020-08-16 19:29:18,867, INFO, 16.5,   42.3,  43.2,   0.0,   0.0,   50,  42.8,   92,   9,   27.0, REFLOW
2020-08-16 19:29:19,114, INFO, 16.8,   42.3,  43.3,   0.0,   0.0,   50,  42.8,  138,   9,   27.0, REFLOW
2020-08-16 19:29:19,365, INFO, 17.0,   41.9,  43.5,   0.0,   0.0,   50,  42.7,  173,   9,   27.0, REFLOW
2020-08-16 19:29:19,614, INFO, 17.2,   42.1,  43.5,   0.0,   0.0,   50,  42.8,  131,   9,   27.0, REFLOW
2020-08-16 19:29:19,854, INFO, 17.5,   42.8,  43.5,   0.0,   0.0,   50,  43.1,   54,   9,   27.0, REFLOW
2020-08-16 19:29:20,109, INFO, 17.8,   42.9,  43.7,   0.0,   0.0,   50,  43.3,   83,   9,   27.0, REFLOW
2020-08-16 19:29:20,363, INFO, 18.0,   42.4,  43.7,   0.0,   0.0,   50,  43.0,  212,   9,   27.0, REFLOW
2020-08-16 19:29:20,614, INFO, 18.2,   42.7,  43.6,   0.0,   0.0,   50,  43.1,  115,   9,   27.0, REFLOW
2020-08-16 19:29:20,864, INFO, 18.5,   43.2,  43.9,   0.0,   0.0,   50,  43.6,   24,   9,   27.0, REFLOW
2020-08-16 19:29:21,114, INFO, 18.8,   43.2,  44.0,   0.0,   0.0,   50,  43.6,  114,   9,   27.0, REFLOW
2020-08-16 19:29:21,363, INFO, 19.0,   42.7,  44.0,   0.0,   0.0,   50,  43.3,  206,   9,   27.0, REFLOW
2020-08-16 19:29:21,617, INFO, 19.2,   43.2,  43.9,   0.0,   0.0,   50,  43.6,   76,   9,   27.0, REFLOW
2020-08-16 19:29:21,842, INFO, 19.5,   43.5,  44.2,   0.0,   0.0,   50,  43.9,   49,   9,   27.0, REFLOW
2020-08-16 19:29:22,114, INFO, 19.8,   43.6,  44.1,   0.0,   0.0,   50,  43.8,  132,   9,   27.0, REFLOW
2020-08-16 19:29:22,367, INFO, 20.0,   43.1,  44.3,   0.0,   0.0,   50,  43.7,  255,   9,   27.0, REFLOW
2020-08-16 19:29:22,614, INFO, 20.2,   43.2,  44.4,   0.0,   0.0,   50,  43.8,  255,   9,   27.0, REFLOW
2020-08-16 19:29:22,864, INFO, 20.5,   43.4,  44.7,   0.0,   0.0,   50,  44.1,  253,   9,   27.0, REFLOW
2020-08-16 19:29:23,113, INFO, 20.8,   43.4,  44.6,   0.0,   0.0,   50,  44.0,  255,   9,   27.0, REFLOW
2020-08-16 19:29:23,353, INFO, 21.0,   43.4,  44.6,   0.0,   0.0,   51,  44.0,  255,   9,   27.0, REFLOW
2020-08-16 19:29:23,608, INFO, 21.2,   43.4,  44.7,   0.0,   0.0,   51,  44.1,  255,   9,   27.0, REFLOW
2020-08-16 19:29:23,848, INFO, 21.5,   43.8,  44.8,   0.0,   0.0,   51,  44.3,  255,   9,   27.0, REFLOW
